Ngành,Nhãn hàng,Code CTKM,Loại,Dòng sản phẩm,Kích cỡ,Chương trình,Số lượng,Tương đương
HAIR,ĐẶC BIỆT ,H01,Tất cả,Tất cả,dây,1.000.000đ dầu dây ck on top 2%,1000k,2.00%
HAIR,Dove,H04,Xả,Dove xả,xả 335g (kẹp khăn),1/10 chai tặng 5/6.5%,1,5.00%
HAIR,Dove,H04,Xả,Dove xả,xả 335g (kẹp khăn),1/10 chai tặng 5/6.5%,10,6.50%
HAIR,Sunsilk,H05,Gội & Xả,Tất cả,chai/tuýp,1/10 chai ck 8.5/10%,1,8.50%
HAIR,Sunsilk,H05,Gội & Xả,Tất cả,chai/tuýp,1/10 chai ck 8.5/10%,10,10.00%
HAIR,Sunsilk,H06,Gội & Xả,Tất cả,dây,12/60 dây tặng 1/6,12,9.00%
HAIR,Sunsilk,H06,Gội & Xả,Tất cả,dây,12/60 dây tặng 1/6,60,11.00%
HAIR,Clear,H07,Gội,Trắng + Men,chai,1/10 chai ck 8.5/10%,1,8.50%
HAIR,Clear,H07,Gội,Trắng + Men,chai,1/10 chai ck 8.5/10%,10,10.00%
HAIR,Clear,H08,Gội,Trắng,dây,12/60 dây tặng 1/6,12,9.00%
HAIR,Clear,H08,Gội,Trắng,dây,12/60 dây tặng 1/6,60,11.00%
HAIR,Clear,H10,Gội,Men,650g + gift,1/10 chai ck 5/6.5%,1,5.00%
HAIR,Clear,H10,Gội,Men,650g + gift,1/10 chai ck 5/6.5%,10,6.50%
HAIR,Clear,H11,Gội,Thảo dược,tất cả,1/5 dây-chai ck 10/12%,1,10.00%
HAIR,Clear,H11,Gội,Thảo dược,tất cả,1/5 dây-chai ck 10/12%,5,12.00%
HAIR,Clear,H15,Gội,Thảo dược,650g + gift,1/5 chai ck 7/9%,1,7.00%
HAIR,Clear,H15,Gội,Thảo dược,650g + gift,1/5 chai ck 7/9%,5,9.00%
HAIR,Lifebouy,H16,Gội,Tất cả,sachet,12/60 dây ck 7.5/9%,12,7.50%
HAIR,Lifebouy,H16,Gội,Tất cả,sachet,12/60 dây ck 7.5/9%,60,9.00%
HAIR,Lifebouy,H17,Gội,Tất cả,chai,1/10 chai ck 8.5/10%,1,8.50%
HAIR,Lifebouy,H17,Gội,Tất cả,chai,1/10 chai ck 8.5/10%,10,10.00%
HAIR,Lifebouy,H18,Gội,Tất cả,640g tóc dày + 650g dưỡng tóc tặng balo,1/10 chai ck 5/6.5%,1,5.00%
HAIR,Lifebouy,H18,Gội,Tất cả,640g tóc dày + 650g dưỡng tóc tặng balo,1/10 chai ck 5/6.5%,10,6.50%
