Ngành,Nhãn hàng,Code CTKM,Loại,Dòng sản phẩm,Kích cỡ,Chương trình,Số lượng,Tương đương
Skin,"ĐẶC BIỆT
(Ponds + Vaseline)",S01,Kem & SDT,Kem dưỡng Ponds + Tất cả Vaseline,Tất cả,Bất kì/500K ck 12/16% ,1,12
Skin,Ponds,S02,SRM & nước hoa hồng,Tất cả (-kem dưỡng),Tất cả,Bất kì/500K ck 10/14% ,1,10
Hair,Lifebuoy,H12,Gội ,Tất cả,Dây,12/60 dây ck 7.5/9%,12,7.5
Hair,Lifebuoy,H13,Gội ,Tất cả,Chai,1/10 chai ck 8.5/10%,1,8.5
Oral,Closeup,O01,KDR,Tất cả,Tất cả ,1/36 ống ck 6/9%,1,6
Oral,P/S,O02,KDR,Tất cả (-NSR & Sensitive),Tất cả,1/36 ống ck 6/9%,1,6
Hair,Dove,H01,Gội & Xả,Tất cả,Dây,12/60 dây ck 8/10%,12,8
Hair,Dove,H02,Gội & Xả,Tất cả,Chai,1/10 chai ck 8.5/9.5%,1,8.5
Hair,Dove,H03,Xả,Tất cả,335g kẹp khăn,1/10 chai ck 7/9%,1,7
Hair,Clear,H04,Gội ,Tất cả (-Herbal),Chai,1/10 chai ck 8.5/9.5%,1,8.5
Hair,Clear,H05,Gội ,Men,650g kẹp túi,1/10 chai ck 7/9%,1,7
Hair,Clear,H06,Gội ,Men,Dây,1/30 dây ck 13/15%,1,13
Hair,Clear,H07,Gội ,Trắng ,Dây,12/60 dây ck 8/9.5%,12,8
Hair,Clear,H08,Gội ,Herbal,Tất cả (-650g kẹp gift),1/5 dây/chai ck 10/12%,1,10
Hair,Clear,H09,Gội & Xả,Herbal,650g kẹp gift,1/5 chai ck 7/9%,1,7
Oral,P/S,O05,KDR,Sensitive,Tất cả,6 ống tặng 1 ống,6,16.7
Oral,P/S,O06,Bàn chải,Tất cả,Tất cả,Bất kì/1000k ck 15/20%,1,15
Oral,P/S,O07,Bàn chải,Tất cả,Tất cả,5000k ck 5%,5000,5
SC,"ĐẶC BIỆT
(Lfb + Lux + Dove)",SC01,XBC,Tất cả,XBC,6/36 xbc ck 7/8.5%,6,7
SC,"ĐẶC BIỆT
(Lfb + Lux + Dove)",SC02,ST & NRT,Tất cả,Chai/túi,1/6 chai/túi ck 10/11.5% ,1,10
SC,"ĐẶC BIỆT
(Lfb + Lux + Haz)",SC03,ST,Tất cả,Dây,7/60 dây tặng 1/10 dây ST Haz,7,14
Hair,Sunsilk,H10,Gội & Xả,Tất cả,Chai thường + DG 650g kẹp DX 50g,1/10 chai ck 8.5/9.5%,1,8.5
Hair,Sunsilk,H11,Gội & Xả,Tất cả,Dây,12/60 dây ck 8/10%,12,8
Oral,P/S,O03,KDR,NSR,Tất cả,1/36 ống ck 5/8%,1,5
Oral,P/S,O04,KDR,NSR,180g kẹp 30g p/s 123,6/36 ống ck 4.5/6%,6,4.5
SC,"ĐẶC BIỆT
(Lfb + Haz)",SC04,ST,Tất cả hàng kẹp,Haz 900g kẹp khăn + LFB 850g kẹp NRT/hộp bút,1/6 chai ck 10/11.5%,1,10
SC,Hazeline,SC05,ST,Tất cả,Chai/túi,Bất kì/570k ck 12/14%,1,12
Hair,Dove,H01,Gội & Xả,Tất cả,Dây,12/60 dây ck 8/10%,60,10
Hair,Dove,H03,Xả,Tất cả,335g kẹp khăn,1/10 chai ck 7/9%,10,9
Hair,Clear,H04,Gội ,Tất cả (-Herbal),Chai,1/10 chai ck 8.5/9.5%,10,9.5
Hair,Clear,H05,Gội ,Men,650g kẹp túi,1/10 chai ck 7/9%,10,9
SC,Lifebuoy,SC06,ST,Tất cả (-850g kẹp NRT 120g/hộp bút),850g thường,7 chai tặng 1 chai,7,14.3
Skin,Hazeline,S03,Tất cả,Tất cả,Tất cả,Bất kì/500K ck 10/14% ,1,10
Deo,"ĐẶC BIỆT
(Axe + Rexona)",D01,Tất cả,Tất cả,Tất cả,Bất kì/1000k ck 18/22% ,1,18
Hair,Clear,H06,Gội ,Men,Dây,1/30 dây ck 13/15%,30,15
Hair,Clear,H07,Gội ,Trắng ,Dây,12/60 dây ck 8/9.5%,60,9.5
Hair,Clear,H08,Gội ,Herbal,Tất cả (-650g kẹp gift),1/5 dây/chai ck 10/12%,5,12
Hair,Clear,H09,Gội & Xả,Herbal,650g kẹp gift,1/5 chai ck 7/9%,5,9
Hair,Sunsilk,H10,Gội & Xả,Tất cả,Chai thường + DG 650g kẹp DX 50g,1/10 chai ck 8.5/9.5%,10,9.5
Hair,Dove,H02,Gội & Xả,Tất cả,Chai,1/10 chai ck 8.5/9.5%,10,9.5
Hair,Lifebuoy,H13,Gội ,Tất cả,Chai,1/10 chai ck 8.5/10%,10,10
Hair,Sunsilk,H11,Gội & Xả,Tất cả,Dây,12/60 dây ck 8/10%,60,10
Hair,Lifebuoy,H12,Gội ,Tất cả,Dây,12/60 dây ck 7.5/9%,60,9
Oral,Closeup,O01,KDR,Tất cả,Tất cả ,1/36 ống ck 6/9%,36,9
SC,"ĐẶC BIỆT
(Lfb + Haz)",SC04,ST,Tất cả hàng kẹp,Haz 900g kẹp khăn + LFB 850g kẹp NRT/hộp bút,1/6 chai ck 10/11.5%,6,11.5
SC,Hazeline,SC05,ST,Tất cả,Chai/túi,Bất kì/570k ck 12/14%,570,14
Skin,"ĐẶC BIỆT
(Ponds + Vaseline)",S01,Kem & SDT,Kem dưỡng Ponds + Tất cả Vaseline,Tất cả,Bất kì/500K ck 12/16% ,500,16
Skin,Ponds,S02,SRM & nước hoa hồng,Tất cả (-kem dưỡng),Tất cả,Bất kì/500K ck 10/14% ,500,14
Oral,P/S,O02,KDR,Tất cả (-NSR & Sensitive),Tất cả,1/36 ống ck 6/9%,36,9
Oral,P/S,O03,KDR,NSR,Tất cả,1/36 ống ck 5/8%,36,8
Oral,P/S,O04,KDR,NSR,180g kẹp 30g p/s 123,6/36 ống ck 4.5/6%,36,6
SC,"ĐẶC BIỆT
(Lfb + Lux + Dove)",SC01,XBC,Tất cả,XBC,6/36 xbc ck 7/8.5%,36,8.5
SC,"ĐẶC BIỆT
(Lfb + Lux + Dove)",SC02,ST & NRT,Tất cả,Chai/túi,1/6 chai/túi ck 10/11.5% ,6,11.5
SC,"ĐẶC BIỆT
(Lfb + Lux + Haz)",SC03,ST,Tất cả,Dây,7/60 dây tặng 1/10 dây ST Haz,60,17
